HyperLink,text,Source - Website,date,sentiment
https://x.com/peytonjefe/status/1815399312278393025,crumbl so not bs now smh,Twitter,7/16/24,positive
https://x.com/BonchaeManchaee/status/1815395234429260230,I hate crumbl cookies,Twitter,7/16/24,negative
https://x.com/fragrancewhore/status/1815395533692785079,"crumbl line up just dropped, can i have $30",Twitter,7/16/24,negative
https://x.com/key_richey/status/1815394343173210238,Them cookie and cream cookies at cookie crumbl so fye ğŸ¥º,Twitter,7/16/24,positive
https://x.com/genn__0/status/1815388003625246935,i want crumbl cookies.,Twitter,7/16/24,neutral
https://x.com/hernamenyah/status/1815383982931947536,i know a crumbl cookie hate to see me coming ğŸ’¯,Twitter,7/16/24,negative
https://x.com/pearlorexic/status/1815380592889868534,just got offered crumbl what if i commit s*****e,Twitter,7/16/24,neutral
https://x.com/ChanelNicholeee/status/1815337832975929843,crumbl you sure do know how to piss me off,Twitter,7/16/24,negative
https://x.com/franbreg/status/1815322243490066896,its crumbl cookie crumbl cookie 4life,Twitter,7/16/24,neutral
https://x.com/bipawlarr/status/1815306998218404069,i NEED crumbl cookies so bad,Twitter,7/17/24,negative
https://x.com/_TaKenyah/status/1815572110917370164,Insomnia cookies gon do it every time. Crumbl is DISGUSTING!,Twitter,7/17/24,negative
https://x.com/tungstn2763/status/1815259089179414533,crumbl got sued for child labor violations + insomnia better anyway,Twitter,7/17/24,negative
https://x.com/RamiyahSharee/status/1815253641072091453,Crumbl the flavors getting worst by the week fr,Twitter,7/17/24,negative
https://www.facebook.com/share/p/SSmX7FVZsX2nTNMv/,I want Crumbl Cookie so bad I'm finna cry!,Facebook ,7/17/24,negative
https://www.facebook.com/share/p/USDEkjqSfqQwTpkM/,Idk who needs to hear this but Crumbl Cookie is a**,Facebook ,7/17/24,negative
https://www.facebook.com/share/p/e3jBVHwhzgA3oeaH/,Personal opinion: Crumbl cookie is nasty,Facebook ,7/17/24,negative
https://www.facebook.com/share/p/RVEE1RjSyKAmmKN3/,"Now after eating CRUMBL Cookies for the first time my opinion of it is it reminds me of Drakeâ€™s musical catalog. Like itâ€™s okay, they got a few good joints, but I just donâ€™t see what all the fuss is about so itâ€™s mad overrated to me.",Facebook ,7/17/24,neutral
https://www.facebook.com/share/p/MY3w7LPx1EgngbGA/,Unpopular opinion but... crumbl cookies is way too hyped up.. I get bad sugar rushes so only had a bite of each 2 cookies I got and meh. They look better than they taste.,Facebook ,7/17/24,negative
https://x.com/cee2geee/status/1815596629501661483,cravinnn crumbl cookieâ€¦ so bad,Twitter,7/18/24,negative
https://x.com/_themilkmarie/status/1815587400451506531,the berry trifle cake cup from crumbl is so good,Twitter,7/18/24,positive
https://x.com/ShlittyL/status/1815581502404485569,I will never buy or try crumbl cookies ğŸ’¯,Twitter,7/18/24,neutral
https://x.com/emilyiswriting/status/1815579126004126016,when are we all going to stop pretending crumbl is good? ğŸ«£,Twitter,7/18/24,positive
https://x.com/cweamymilk/status/1815579221026091171,"i want crumbl cookies , this week looks so good",Twitter,7/18/24,positive
https://x.com/_TaKenyah/status/1815572110917370164,Insomnia cookies gon do it every time. Crumbl is DISGUSTING!,Twitter,7/18/24,negative
https://x.com/juleneegracee/status/1815570031071449131,crumbl take my moneyyyyy,Twitter,7/18/24,negative
https://x.com/jasdapimp/status/1815569657602220034,f*** crumbl cookie,Twitter,7/18/24,neutral
https://x.com/J_Liana_/status/1815569043698413733,crumbl cookies look so f******g nasty i need you guys to be fr rn,Twitter,7/18/24,negative
https://x.com/BIGc293005/status/1815568137674265050,Crumbl cookie is torture,Twitter,7/18/24,negative
https://x.com/marielamichhh/status/1815567782781833451,"These crumbl cookie videos make me wanna throw up, makes me not even want to try it.",Twitter,7/18/24,negative
https://x.com/amoooourr/status/1815565865787490582,LUCKY LUCKY LUCKY ITS CRUMBL COOKIE,Twitter,7/18/24,positive
https://x.com/kayswrldx/status/1815563438036271412,crumbl literally moaning my name rn,Twitter,7/18/24,negative
https://x.com/chelseaariellee/status/1815553953049780509,I really wanna try crumbl cookies ğŸª,Twitter,7/18/24,neutral
https://x.com/kenzzbaae/status/1815550753055920476,"crumbl cookies is disgusting, Iâ€™m starting to think yâ€™all buying them just for pictures then throwing them away immediately after.ğŸ˜©ğŸ˜‚ğŸ˜‚",Twitter,7/18/24,negative
https://x.com/capypowell/status/1815546907730829340,I think a chocolate chip cookie from Crumbl would solve all my problems rn,Twitter,7/19/24,positive
https://x.com/girloomf2/status/1815541514480550093,some of these crumbl cookies actually look good asfk whereâ€™s the nearest one im GOING,Twitter,7/19/24,positive
https://x.com/deniceeegl/status/1815537117029908911,Crumbl cookieeee so fireğŸ˜›,Twitter,7/19/24,positive
https://x.com/RichardR95/status/1815536098103173402,Fuck crumbl,Twitter,7/19/24,negative
https://x.com/Liminal_Alienzz/status/1815534828290195643,Controversial opinion but Crumbl cookies are nasty and i dont understand why anyone would buy them,Twitter,7/19/24,negative
https://x.com/11Lovebunny11/status/1815532138235850897,i hate my job fuck crumbl cookie,Twitter,7/19/24,negative
https://x.com/sarahluvsgirls/status/1815530276191412255,crumbl cookies are a**!!!!!!!!!!!!!!!,Twitter,7/20/24,negative
https://x.com/CryptiicCutie/status/1815528338703741363,"having tried crumbl twice now, it's mid I'm ngl. $30 for 6 mid cookies?? they look pretty and all but damn",Twitter,7/20/24,neutral
https://x.com/chloeislame123/status/1815524111449506172,crumbl justâ€¦ isnâ€™t that good,Twitter,7/20/24,negative
https://x.com/giraffley/status/1815519773536444511,I do not like crumbl,Twitter,7/20/24,negative
https://x.com/jblevzzz/status/1815513868157812980,The ppl saying crumbl cookies fire NA WTFğŸ¤¢,Twitter,7/20/24,negative
https://x.com/St_Stephan91/status/1815512401850110071,Rather eat playdoh than Crumbl. They the same anyways,Twitter,7/20/24,neutral
https://x.com/miZs_jAZZy/status/1815512347105993060,I probably had the best cookie of my life at crumbl cookie this past weekend ğŸ¥¹ first timer too and I didnâ€™t have high expectations.,Twitter,7/20/24,neutral
https://x.com/hoesiahhh/status/1815508574488924264,craving crumbl cookie so bad im boutta s*** my self out for a box i stg,Twitter,7/20/24,negative
https://x.com/ZephyraSage/status/1815504583378227476,Idk how people can eat ONE crumbl cookie. They don't even taste good. Not even worth the massive amount of calories.,Twitter,7/20/24,negative
https://x.com/andreaac1998/status/1815503639374676133,Crumbl cookies are trash ğŸš® I will only have crumbl if theyâ€™re free hehe,Twitter,7/20/24,negative
https://x.com/MAMAKAII_/status/1815490722843492399,I need crumbl cookiesğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ Iâ€™m addicted atp,Twitter,7/21/24,neutral
https://x.com/Aleah_tg/status/1815478011103227958,"I think Iâ€™ve been converted, Crumbl may actually be better than Insomnia ğŸ«£",Twitter,7/21/24,positive
https://x.com/HollywoodTrigga/status/1815476526374064184,Yâ€™all sleep on Crumbl! That shÃ¬t good as f***,Twitter,7/21/24,positive
https://x.com/peechbloom/status/1815472006902772006,crumbl cookies are so gross idk how ppl enjoy them ğŸ˜­,Twitter,7/21/24,positive
https://x.com/baddieelisa/status/1815465607552528878,Crumbl cookie so nasty and overrated,Twitter,7/21/24,negative
https://x.com/nataliaaxrose/status/1815456856200147338,I wanna eat a Crumbl Cookie soooo bad,Twitter,7/21/24,negative
https://x.com/alexustee/status/1815455713998569769,"crumbl can keep them big a**, overly sweet, dry a** cookies!",Twitter,7/22/24,positive
https://x.com/godidkok/status/1815435198835945730,The one from crumbl is saurrrr good,Twitter,7/22/24,positive
https://x.com/14stkiss/status/1815433936043925814,while weâ€™re on the subject of food crumbl is SO overrated the cookies undercookedâ€¦,Twitter,7/22/24,negative
https://x.com/x3princessa/status/1815429237639442730,Iâ€™ve never had crumbl cookies till today and letâ€™s just say Iâ€™m glad this wasnâ€™t my money spentâ€¦.,Twitter,7/22/24,positive
https://x.com/dronevibess/status/1815419019555746287,crumbl cookies just might be the new supreme. insomnia i am so sorry,Twitter,7/22/24,negative
https://x.com/GamerJsun/status/1814062974354509865,"I hope you know how much I love. @crumble, in the rain, we still Crumbl!",Twitter,7/23/24,positive